"inventory_id";"store_id"
3;1
12;1
29;1
39;1
46;1
57;1
67;1
78;1
90;1
100;1
110;1
120;1
129;1
133;1
146;1
159;1
170;1
180;1
187;1
193;1
203;1
6;2
17;2
21;2
33;2
45;2
52;2
66;2
72;2
83;2
93;2
101;2
112;2
122;2
135;2
143;2
156;2
164;2
175;2
181;2
197;2
205;2
4;3
11;3
24;3
37;3
48;3
60;3
70;3
80;3
89;3
98;3
106;3
118;3
128;3
140;3
148;3
151;3
162;3
177;3
189;3
199;3
210;3
211;3
212;3
213;3
214;3
215;3
216;3
217;3
218;3
219;3
220;3
1;4
14;4
26;4
31;4
42;4
54;4
69;4
77;4
81;4
92;4
104;4
113;4
127;4
138;4
144;4
160;4
167;4
172;4
186;4
191;4
206;4
9;5
19;5
28;5
38;5
50;5
58;5
61;5
73;5
85;5
97;5
108;5
117;5
121;5
132;5
150;5
155;5
168;5
179;5
183;5
195;5
207;5
5;6
15;6
22;6
34;6
47;6
55;6
64;6
74;6
84;6
94;6
102;6
111;6
126;6
134;6
142;6
152;6
165;6
171;6
182;6
194;6
209;6
2;7
16;7
25;7
32;7
44;7
51;7
62;7
79;7
87;7
95;7
105;7
116;7
123;7
139;7
149;7
154;7
161;7
174;7
188;7
198;7
202;7
7;8
18;8
23;8
35;8
41;8
53;8
65;8
76;8
86;8
99;8
103;8
119;8
124;8
131;8
145;8
157;8
169;8
173;8
184;8
192;8
204;8
8;9
13;9
27;9
36;9
43;9
56;9
68;9
75;9
82;9
91;9
109;9
115;9
130;9
137;9
147;9
158;9
163;9
178;9
190;9
200;9
208;9
10;10
20;10
30;10
40;10
49;10
59;10
63;10
71;10
88;10
96;10
107;10
114;10
125;10
136;10
141;10
153;10
166;10
176;10
185;10
196;10
201;10
