"inventory_num";"product_id"
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;2
14;2
15;2
16;2
17;2
18;2
19;3
20;3
21;3
22;3
23;3
24;3
25;3
26;3
27;3
28;3
29;3
30;3
31;3
32;3
33;4
34;4
35;4
36;4
37;4
38;4
39;4
40;4
41;4
42;4
43;4
44;4
45;4
46;4
47;4
48;4
49;4
50;4
51;5
52;5
53;5
54;5
55;5
56;5
57;5
58;5
59;6
60;6
61;6
62;6
63;6
64;6
65;6
66;6
67;6
68;6
69;6
70;6
71;7
72;7
73;7
74;7
75;7
76;7
77;7
78;7
79;7
80;7
81;7
82;8
83;8
84;8
85;8
86;8
87;8
88;8
89;8
90;8
91;9
92;10
93;10
94;11
95;11
96;12
97;13
98;13
99;13
100;13
101;13
102;13
103;13
104;13
105;13
106;14
107;14
108;14
109;14
110;14
111;14
112;14
113;15
114;15
115;15
116;15
117;15
118;15
119;15
120;15
121;15
122;15
123;15
124;15
125;15
126;15
127;15
128;15
129;16
130;16
131;16
132;16
133;16
134;16
135;16
136;17
137;17
138;17
139;17
140;17
141;17
142;17
143;17
144;17
145;17
146;17
147;17
148;17
149;18
150;18
151;18
152;19
153;19
154;19
155;19
156;19
157;19
158;20
159;20
160;20
161;20
162;20
163;20
164;21
165;21
166;21
167;21
168;21
169;22
170;22
171;22
172;22
173;22
174;22
175;22
176;22
177;23
178;23
179;23
180;23
181;23
182;23
183;24
184;24
185;24
186;24
187;24
188;24
189;24
190;24
191;24
192;25
193;25
194;25
195;25
196;26
197;26
198;26
199;26
200;27
201;27
202;27
203;27
204;27
205;27
206;28
207;28
208;28
209;28
210;28
211;28
212;29
213;30
214;30
215;30
216;30
217;31
218;31
219;31
220;33
